Age,Time
21.13,8
20.35,2
22.7,15
26.58,4
23.17,1
24.95,8
21.67,3
21.55,1
19.95,2
32.67,10
21.84,13
26.32,17
25.19,2
23.63,20
24.63,2
19.41,2
25.04,19
21.23,14
28.54,17
25.73,32
29.14,10
28.93,4
26.09,7
23.76,6
29.33,5
32.57,9
22.06,3
24.32,2
21.44,1
27.5,2
30.23,51
25.82,17
22.7,2
25.97,6
22.11,13
19.7,2
24.62,30
24.16,15
25.24,18
25.15,17
27.85,11
23.15,15
20.55,1
22.73,6
23.48,10
25.9,2
27.04,11
26.38,16
21.39,3
27.13,23
20.09,5
22.92,10
21.47,20
24.38,7
24.14,6
21.19,6
25.69,7
20.46,1
23.16,3
25.24,11
27.53,25
25.92,15
28.02,16
21.83,13
26.35,2
20.35,2
22.14,18
17.16,3
31.48,40
24.77,2
24.95,6
21.42,3
26.16,5
21.44,8
28.69,2
26.22,26
29.18,6
24.89,9
23.5,19
28.14,11
25.8,9
27.46,6
27.83,3
27.15,28
24.11,4
26.42,36
24.54,11
27.51,7
22.93,7
27.57,8
21.98,10
25.05,9
24.62,30
27.95,9
28.13,8
19.28,6
18.51,7
32.32,44
26.1,2
24.68,4
28.29,17
27.83,2
24.71,4
28.61,17
28.73,9
24.17,5
24.45,7
22.51,3
27.91,3
31.1,14
17.79,3
31.03,14
17.56,4
20.31,2
28.89,14
25.84,1
21.68,10
31.29,8
27.5,5
26.31,13
28.5,9
24.52,20
21.97,12
28.62,23
26.12,10
26.29,11
23.67,19
26.28,6
30,2
23.86,2
20.64,22
23.25,4
23.03,4
23.37,7
26.58,10
20.16,22
27.52,7
24.23,30
22.36,3
29.93,31
21.71,15
33.93,13
21.53,3
21.68,41
30.06,35
27.05,2
29.92,8
19.93,20
21.97,13
28.07,8
